2015-11-05 09:19:28,323 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/Semantic_Web/semweb/pom.xml.
2015-11-05 09:19:28,574 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /semweb/src/main/java
2015-11-05 09:19:28,576 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /semweb/src/main/resources
2015-11-05 09:19:28,577 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /semweb/src/test/java
2015-11-05 09:19:28,577 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /semweb/src/test/resources
2015-11-05 09:19:29,803 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/Semantic_Web/semweb/pom.xml.
2015-11-05 09:19:30,698 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/Semantic_Web/semweb/pom.xml.
2015-11-05 09:19:30,841 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-05 09:19:30,886 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-05 09:19:30,890 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-05 09:19:30,891 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-05 09:19:31,959 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/Semantic_Web/semweb/pom.xml.
2015-11-05 09:19:33,016 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-05 09:19:33,026 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-05 09:19:33,028 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-05 09:19:33,029 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
